332	523	529	
332	521	529	
333	520	529	
333	519	529	
333	518	528	
335	519	528	
336	521	526	
338	523	526	
339	526	525	
340	529	525	
340	532	524	
340	535	525	
341	538	524	
341	541	525	
341	543	525	
342	545	527	
343	547	529	
344	547	530	
344	548	532	
345	548	534	
346	547	535	
346	547	537	
346	546	537	
348	545	538	
348	543	539	
349	540	539	
349	538	540	
350	536	540	
350	534	541	
350	532	541	
348	532	540	
346	531	541	
344	531	540	
342	532	539	
340	532	538	
339	533	539	
337	534	538	
337	535	537	
337	536	537	
338	536	537	
339	536	538	
340	536	538	
341	535	540	
343	533	541	
345	532	542	
346	529	543	
346	527	544	
348	524	544	
348	521	545	
347	520	545	
346	518	543	
345	517	543	
345	516	543	
343	517	543	
343	518	543	
343	520	542	
343	522	541	
344	524	541	
346	526	541	
349	529	541	
352	529	541	
357	531	542	
361	532	543	
365	532	545	
369	532	546	
373	530	547	
377	529	548	
378	525	550	
381	523	551	
383	520	552	
384	515	552	
384	511	551	
383	507	552	
382	503	552	
380	500	553	
378	497	553	
375	495	552	
373	495	551	
369	495	551	
366	496	550	
362	498	551	
358	501	549	
356	503	547	
353	505	545	
351	507	543	
349	509	541	
348	509	539	
347	509	536	
348	510	534	
348	509	532	
348	508	531	
349	507	530	
349	505	529	
349	505	528	
350	504	527	
350	504	526	
352	505	525	
353	507	524	
354	509	524	
356	512	523	
360	513	521	
363	516	519	
366	520	517	
371	522	515	
375	524	514	
380	526	512	
385	528	511	
390	529	509	
394	529	508	
399	530	508	
403	529	508	
405	528	509	
408	526	511	
409	525	512	
411	522	514	
410	519	515	
411	516	517	
408	512	517	
407	508	518	
405	505	518	
403	500	519	
400	497	520	
397	494	520	
395	492	520	
391	490	517	
388	489	516	
386	488	514	
385	488	511	
383	488	509	
382	488	506	
383	488	504	
382	488	500	
381	487	497	
382	486	494	
382	485	491	
381	483	488	
381	482	487	
381	480	484	
380	479	484	
378	478	482	
378	477	480	
377	476	479	
377	477	479	
377	478	477	
377	479	475	
377	482	474	
378	484	473	
379	487	471	
381	489	471	
383	491	469	
385	493	467	
387	494	465	
389	494	462	
391	494	461	
393	494	460	
395	492	459	
396	491	457	
397	490	456	
398	487	455	
398	484	454	
398	483	454	
397	480	454	
396	478	455	
396	477	456	
395	476	457	
395	476	459	
394	477	461	
394	479	463	
394	480	466	
394	482	468	
392	485	471	
392	487	474	
392	489	476	
393	491	478	
394	492	479	
395	493	481	
395	494	482	
396	495	482	
396	494	482	
396	494	481	
396	495	481	
396	494	481	
395	493	480	
395	492	480	
395	492	481	
396	492	482	
396	492	483	
398	494	485	
399	495	487	
401	497	490	
404	499	491	
406	501	493	
409	502	497	
411	504	499	
414	505	502	
416	505	503	
419	506	505	
421	506	506	
423	505	507	
424	504	507	
425	500	507	
425	499	506	
425	496	505	
425	492	504	
425	489	500	
423	485	500	
421	481	497	
420	477	495	
418	473	493	
416	470	492	
415	467	490	
413	465	490	
412	463	490	
410	462	491	
408	461	492	
406	461	493	
404	461	495	
403	461	497	
401	460	499	
400	460	500	
398	459	502	
396	459	503	
396	459	504	
395	458	505	
394	459	505	
394	460	506	
394	461	507	
395	462	508	
396	465	510	
398	467	512	
399	471	513	
401	474	515	
404	477	518	
406	481	521	
408	484	524	
411	488	526	
413	491	529	
415	495	531	
416	497	534	
418	499	537	
419	500	539	
419	502	541	
420	503	543	
419	503	544	
419	503	545	
417	503	546	
416	502	547	
413	501	547	
411	500	547	
408	498	547	
406	496	547	
402	493	547	
399	491	546	
396	488	546	
393	486	545	
390	484	544	
387	480	543	
385	479	543	
383	477	542	
382	475	542	
381	475	542	
379	475	542	
378	474	543	
378	474	543	
377	472	543	
377	472	543	
376	471	543	
375	470	542	
375	469	542	
375	468	542	
374	467	541	
374	466	540	
374	466	538	
374	466	536	
374	466	535	
375	465	533	
375	466	532	
376	467	531	
378	468	530	
378	469	529	
379	471	529	
381	472	529	
382	475	529	
384	478	530	
386	479	531	
387	481	533	
390	484	533	
391	486	534	
393	488	535	
395	491	536	
396	492	538	
399	494	539	
401	496	540	
405	497	541	
408	499	541	
411	500	542	
415	501	543	
420	502	543	
424	504	544	
429	505	545	
434	505	545	
439	507	544	
444	508	543	
449	508	543	
453	510	543	
455	511	543	
458	512	543	
461	513	544	
462	514	545	
464	516	547	
466	516	548	
467	516	549	
468	517	549	
470	518	549	
470	520	549	
471	521	549	
475	525	550	
477	527	550	
478	529	550	
			
			
